"L","M","U","x","G","EIR","Resistance_level","Access","Dosage","Seasonality"
-0.0892755480102778,-0.0506530902908998,0.0211406775401709,1,"Fitness",1,1,1,1,"sesonality1"
-0.0878986258827521,-0.0477730759173322,0.0242082925056362,2,"Fitness",1,1,1,1,"sesonality1"
-0.0868963970182708,-0.0485426833346434,0.0249218299419318,3,"Fitness",1,1,1,1,"sesonality1"
-0.0852749123966482,-0.0478843231175827,0.0234423891435641,4,"Fitness",1,1,1,1,"sesonality1"
-0.0838421236546887,-0.0459779601394764,0.0286447762212335,5,"Fitness",1,1,1,1,"sesonality1"
-0.0814439403843573,-0.0433180076224407,0.028552161207618,6,"Fitness",1,1,1,1,"sesonality1"
-0.0791939432110257,-0.0390042240126216,0.0329004952082245,7,"Fitness",1,1,1,1,"sesonality1"
-0.0773361735652908,-0.037187222115318,0.0393674220439287,8,"Fitness",1,1,1,1,"sesonality1"
-0.0747661984874317,-0.0350558098836269,0.0376204671266351,9,"Fitness",1,1,1,1,"sesonality1"
-0.0727966958966575,-0.0331073770268634,0.0415059710271117,10,"Fitness",1,1,1,1,"sesonality1"
-0.070694994790291,-0.0311176440391669,0.0429505982367354,11,"Fitness",1,1,1,1,"sesonality1"
-0.0681695472021274,-0.0300367358957364,0.0425685073408381,12,"Fitness",1,1,1,1,"sesonality1"
-0.0661194710690047,-0.0285205193144396,0.0469833161487024,13,"Fitness",1,1,1,1,"sesonality1"
-0.0640795923182985,-0.0254821008137067,0.0508363021129795,14,"Fitness",1,1,1,1,"sesonality1"
-0.0608713039476259,-0.0211144331308302,0.0518251959812876,15,"Fitness",1,1,1,1,"sesonality1"
-0.0578288632761365,-0.0181763059666165,0.0540534383326656,16,"Fitness",1,1,1,1,"sesonality1"
-0.055775606331673,-0.0178165333589288,0.0551512236740916,17,"Fitness",1,1,1,1,"sesonality1"
-0.0535434235502436,-0.0140098519601896,0.0595605947867636,18,"Fitness",1,1,1,1,"sesonality1"
-0.0499719652682614,-0.0112693910060822,0.0628672635141786,19,"Fitness",1,1,1,1,"sesonality1"
-0.0472660554344004,-0.00794925623300585,0.06599144411974,20,"Fitness",1,1,1,1,"sesonality1"
-0.0445627892907156,-0.00483237657484505,0.0703491890388813,21,"Fitness",1,1,1,1,"sesonality1"
-0.0415877933317894,-0.00256808129181462,0.0707863956978364,22,"Fitness",1,1,1,1,"sesonality1"
-0.0388884070510056,0.000155103840971508,0.0729545692438884,23,"Fitness",1,1,1,1,"sesonality1"
-0.0358462427978636,0.00433460069151886,0.0774496997565281,24,"Fitness",1,1,1,1,"sesonality1"
-0.0337207514369511,0.00408089890030324,0.0775967932356852,25,"Fitness",1,1,1,1,"sesonality1"
-0.0306509275603775,0.00933266017373841,0.0827945893641022,26,"Fitness",1,1,1,1,"sesonality1"
-0.0274682454258615,0.0117340948004037,0.0844700864206485,27,"Fitness",1,1,1,1,"sesonality1"
-0.0249462521200487,0.0153972235686342,0.0892060664164475,28,"Fitness",1,1,1,1,"sesonality1"
-0.0222182554497573,0.0172187068997833,0.0914268544614191,29,"Fitness",1,1,1,1,"sesonality1"
-0.0191861871279954,0.0215227397281849,0.0943032088671485,30,"Fitness",1,1,1,1,"sesonality1"
-0.0166601563997957,0.0230473621861581,0.0938816984280046,31,"Fitness",1,1,1,1,"sesonality1"
-0.014166413769276,0.0243463372557497,0.0954701408579759,32,"Fitness",1,1,1,1,"sesonality1"
-0.0116675208463338,0.0271675824757494,0.0995019212775872,33,"Fitness",1,1,1,1,"sesonality1"
-0.00847603583542038,0.029248501912894,0.103689080602036,34,"Fitness",1,1,1,1,"sesonality1"
-0.00597065203147044,0.0329354235524467,0.103161417780355,35,"Fitness",1,1,1,1,"sesonality1"
-0.00246327553294504,0.0366374959840503,0.107543356474871,36,"Fitness",1,1,1,1,"sesonality1"
-0.000904602608246865,0.0369097530752973,0.10721483223018,37,"Fitness",1,1,1,1,"sesonality1"
0.00137354929466208,0.0397709876064912,0.108626159919523,38,"Fitness",1,1,1,1,"sesonality1"
0.00358912089138503,0.0410203428717808,0.11188042382571,39,"Fitness",1,1,1,1,"sesonality1"
NA,NA,NA,40,"Fitness",1,1,1,1,"sesonality1"
-0.0650772575515232,-0.0386177561947111,-0.0129285846139837,1,"Access",1,1,1,1,"sesonality1"
-0.0633537256777767,-0.0364032193628388,-0.00870255837795667,2,"Access",1,1,1,1,"sesonality1"
-0.0600896093898126,-0.0322965809726548,-0.00564350912618981,3,"Access",1,1,1,1,"sesonality1"
-0.0582046095436588,-0.0296614078901628,-0.00199595207970296,4,"Access",1,1,1,1,"sesonality1"
-0.0550712862219309,-0.0264631101646344,0.00106908174190219,5,"Access",1,1,1,1,"sesonality1"
-0.054137467692523,-0.022972527956722,0.00636514146628112,6,"Access",1,1,1,1,"sesonality1"
-0.0533366336811644,-0.0199820198520202,0.0101652538554604,7,"Access",1,1,1,1,"sesonality1"
